,total_bill,time,size
0,16.99,0,2
1,10.34,0,3
2,21.01,0,3
3,23.68,0,2
4,24.59,0,4
5,25.29,0,4
6,8.77,0,2
7,26.88,0,4
8,15.04,0,2
9,14.78,0,2
10,10.27,0,2
11,35.26,0,4
12,15.42,0,2
13,18.43,0,4
14,14.83,0,2
15,21.58,0,2
16,10.33,0,3
17,16.29,0,3
18,16.97,0,3
19,20.65,0,3
20,17.92,0,2
21,20.29,0,2
22,15.77,0,2
23,39.42,0,4
24,19.82,0,2
25,17.81,0,4
26,13.37,0,2
27,12.69,0,2
28,21.7,0,2
29,19.65,0,2
30,9.55,0,2
31,18.35,0,4
32,15.06,0,2
33,20.69,0,4
34,17.78,0,2
35,24.06,0,3
36,16.31,0,3
37,16.93,0,3
38,18.69,0,3
39,31.27,0,3
40,16.04,0,3
41,17.46,0,2
42,13.94,0,2
43,9.68,0,2
44,30.4,0,4
45,18.29,0,2
46,22.23,0,2
47,32.4,0,4
48,28.55,0,3
49,18.04,0,2
50,12.54,0,2
51,10.29,0,2
52,34.81,0,4
53,9.94,0,2
54,25.56,0,4
55,19.49,0,2
56,38.01,0,4
57,26.41,0,2
58,11.24,0,2
59,48.27,0,4
60,20.29,0,2
61,13.81,0,2
62,11.02,0,2
63,18.29,0,4
64,17.59,0,3
65,20.08,0,3
66,16.45,0,2
67,3.07,0,1
68,20.23,0,2
69,15.01,0,2
70,12.02,0,2
71,17.07,0,3
72,26.86,0,2
73,25.28,0,2
74,14.73,0,2
75,10.51,0,2
76,17.92,0,2
77,27.2,1,4
78,22.76,1,2
79,17.29,1,2
80,19.44,1,2
81,16.66,1,2
82,10.07,1,1
83,32.68,1,2
84,15.98,1,2
85,34.83,1,4
86,13.03,1,2
87,18.28,1,2
88,24.71,1,2
89,21.16,1,2
90,28.97,0,2
91,22.49,0,2
92,5.75,0,2
93,16.32,0,2
94,22.75,0,2
95,40.17,0,4
96,27.28,0,2
97,12.03,0,2
98,21.01,0,2
99,12.46,0,2
100,11.35,0,2
101,15.38,0,2
102,44.3,0,3
103,22.42,0,2
104,20.92,0,2
105,15.36,0,2
106,20.49,0,2
107,25.21,0,2
108,18.24,0,2
109,14.31,0,2
110,14.0,0,2
111,7.25,0,1
112,38.07,0,3
113,23.95,0,2
114,25.71,0,3
115,17.31,0,2
116,29.93,0,4
117,10.65,1,2
118,12.43,1,2
119,24.08,1,4
120,11.69,1,2
121,13.42,1,2
122,14.26,1,2
123,15.95,1,2
124,12.48,1,2
125,29.8,1,6
126,8.52,1,2
127,14.52,1,2
128,11.38,1,2
129,22.82,1,3
130,19.08,1,2
131,20.27,1,2
132,11.17,1,2
133,12.26,1,2
134,18.26,1,2
135,8.51,1,2
136,10.33,1,2
137,14.15,1,2
138,16.0,1,2
139,13.16,1,2
140,17.47,1,2
141,34.3,1,6
142,41.19,1,5
143,27.05,1,6
144,16.43,1,2
145,8.35,1,2
146,18.64,1,3
147,11.87,1,2
148,9.78,1,2
149,7.51,1,2
150,14.07,0,2
151,13.13,0,2
152,17.26,0,3
153,24.55,0,4
154,19.77,0,4
155,29.85,0,5
156,48.17,0,6
157,25.0,0,4
158,13.39,0,2
159,16.49,0,4
160,21.5,0,4
161,12.66,0,2
162,16.21,0,3
163,13.81,0,2
164,17.51,0,2
165,24.52,0,3
166,20.76,0,2
167,31.71,0,4
168,10.59,0,2
169,10.63,0,2
170,50.81,0,3
171,15.81,0,2
172,7.25,0,2
173,31.85,0,2
174,16.82,0,2
175,32.9,0,2
176,17.89,0,2
177,14.48,0,2
178,9.6,0,2
179,34.63,0,2
180,34.65,0,4
181,23.33,0,2
182,45.35,0,3
183,23.17,0,4
184,40.55,0,2
185,20.69,0,5
186,20.9,0,3
187,30.46,0,5
188,18.15,0,3
189,23.1,0,3
190,15.69,0,2
191,19.81,1,2
192,28.44,1,2
193,15.48,1,2
194,16.58,1,2
195,7.56,1,2
196,10.34,1,2
197,43.11,1,4
198,13.0,1,2
199,13.51,1,2
200,18.71,1,3
201,12.74,1,2
203,16.4,1,2
204,20.53,1,4
205,16.47,1,3
206,26.59,0,3
207,38.73,0,4
208,24.27,0,2
209,12.76,0,2
210,30.06,0,3
211,25.89,0,4
212,48.33,0,4
213,13.27,0,2
214,28.17,0,3
215,12.9,0,2
216,28.15,0,5
217,11.59,0,2
218,7.74,0,2
219,30.14,0,4
220,12.16,1,2
221,13.42,1,2
222,8.58,1,1
223,15.98,1,3
224,13.42,1,2
225,16.27,1,2
226,10.09,1,2
227,20.45,0,4
228,13.28,0,2
229,22.12,0,2
230,24.01,0,4
231,15.69,0,3
232,11.61,0,2
233,10.77,0,2
234,15.53,0,2
235,10.07,0,2
236,12.6,0,2
237,32.83,0,2
238,35.83,0,3
239,29.03,0,3
240,27.18,0,2
241,22.67,0,2
242,17.82,0,2
243,18.78,0,2
